Invoice;Quantity;Product;PurchasePrice (Unit);TotalAmount
FFCC141436;60;P9270;0.612;36.72
FFCC141436;134;P9280;1.03538274869905;138.74
FFCC141436;147;P9319T;3.556559251566554;522.81
FFCC141436;150;P9337T;3.1438675741470097;471.58
FFCC141436;60;P9339T;1.2539999999999998;75.24
FFCC141436;60;P9344T;0.99;59.4
FFCC141436;57;P9497;1.1473226701047785;65.4
FFCC141436;633;P9802;1.4247115250595377;901.84
FFCC141436;42;P9814T;0.774;32.51
FFCC141436;191;P9815T;2.11595387558366;404.15
FFCC141436;45;P98180;0.642;28.89
FFCC141436;100;P98193;1.2671414606952522;126.71
FFCC141436;92;P9862T;1.3576046371754908;124.9
